date,amount
2013-04-30,260
2014-04-30,287
2015-01-30,10
2015-04-30,260
2016-01-29,10
2016-04-29,400
2017-04-28,430
2018-04-30,500
2019-04-30,530
2020-04-29,470
2021-04-30,590
2022-04-29,680
2023-04-28,730
2024-04-30,750
2024-05-31,63
2024-06-28,63
2024-07-31,63
2024-08-30,63
2024-09-30,63
2024-10-31,63
2024-11-29,63
2024-12-30,63
2025-01-31,63
2025-02-28,63
2025-03-31,63
2025-04-30,63
2025-05-30,73
2025-06-30,73
2025-07-31,78
2025-08-29,78
2025-09-30,78
2025-10-31,78
2025-11-28,78
2025-12-30,78
2026-01-30,86
2026-02-27,86
2026-03-31,86
2026-04-30,86
