name,ticker
삼성전자,005930
SK하이닉스,000660
삼성전자우,005935
SK스퀘어,402340
현대차,005380
삼성전기,009150
LG에너지솔루션,373220
삼성생명,032830
HD현대중공업,329180
삼성물산,028260
KB금융,105560
기아,000270
삼성바이오로직스,207940
두산에너빌리티,034020
현대모비스,012330
한화에어로스페이스,012450
신한지주,055550
LG전자,066570
삼성SDI,006400
SK,034730
NAVER,035420
셀트리온,068270
하나금융지주,086790
한화오션,042660
HD현대일렉트릭,267260
LS ELECTRIC,010120
삼성화재,000810
POSCO홀딩스,005490
미래에셋증권,006800
효성중공업,298040
KODEX 200,069500
HD한국조선해양,009540
두산,000150
한미반도체,042700
고려아연,010130
LG이노텍,011070
한국전력,015760
SK텔레콤,017670
LG화학,051910
삼성중공업,010140
우리금융지주,316140
현대오토에버,307950
HD현대,267250
현대로템,064350
TIGER 미국S&P500,360750
KT&G,033780
SK이노베이션,096770
HMM,011200
삼성에스디에스,018260
메리츠금융지주,138040
포스코퓨처엠,003670
LG,003550
카카오,035720
한화시스템,272210
기업은행,024110
LIG디펜스앤에어로스페이스,079550
현대글로비스,086280
에이피알,278470
KT,030200
현대건설,000720
한국금융지주,071050
한국항공우주,047810
S-Oil,010950
TIGER 반도체TOP10,396500
크래프톤,259960
LS,006260
TIGER 미국나스닥100,133690
NH투자증권,005940
TIGER 200,102110
카카오뱅크,323410
LG씨엔에스,064400
삼성증권,016360
KODEX 미국S&P500,379800
포스코인터내셔널,047050
두산로보틱스,454910
HD현대마린솔루션,443060
DB손해보험,005830
대한항공,003490
키움증권,039490
현대차2우B,005387
KODEX 미국나스닥100,379810
삼성E&A,028050
하이브,352820
KODEX 200TR,278530
KODEX 머니마켓액티브,488770
대우건설,047040
한화,000880
삼양식품,003230
이수페타시스,007660
KODEX 레버리지,122630
한국타이어앤테크놀로지,161390
KODEX CD금리액티브(합성),459580
한진칼,180640
대한전선,001440
LG디스플레이,034220
DB하이텍,000990
대덕전자,353200
GS,078930
HD건설기계,267270
코웨이,021240
TIGER 미국필라델피아반도체나스닥,381180
SK바이오팜,326030
산일전기,062040
SKC,011790
LG유플러스,032640
한화솔루션,009830
아모레퍼시픽,090430
KODEX 반도체,091160
유한양행,000100
두산밥캣,241560
한미약품,128940
현대차우,005385
NC,036570
KODEX 200타겟위클리커버드콜,498400
카카오페이,377300
신세계,004170
TIGER MSCI Korea TR,310970
맥쿼리인프라,088980
BNK금융지주,138930
엘앤에프,066970
삼성카드,029780
오리온,271560
CJ,001040
OCI홀딩스,010060
가온전선,000500
두산퓨얼셀,336260
KODEX 코스닥150,229200
JB금융지주,175330
ACE KRX금현물,411060
한온시스템,018880
롯데쇼핑,023530
현대제철,004020
한전기술,052690
RISE 200,148020
KODEX 종합채권(AA-이상)액티브,273130
한화엔진,082740
KCC,002380
KODEX KOFR금리액티브(합성),423160
TIGER 미국테크TOP10 INDXX,381170
ACE 미국S&P500,360200
HANARO Fn K-반도체,395270
포스코DX,022100
TIGER CD금리투자KIS(합성),357870
한화생명,088350
TIGER 미국배당다우존스,458730
KODEX 삼성그룹,102780
KODEX AI반도체TOP2플러스,395160
에코프로머티,450080
LG생활건강,051900
ACE 미국나스닥100,367380
더존비즈온,012510
일진전기,103590
영원무역,111770
넷마블,251270
한화비전,489790
KODEX AI전력핵심설비,487240
강원랜드,035250
한국가스공사,036460
롯데케미칼,011170
KODEX 코스닥150레버리지,233740
금호석유화학,011780
에스엘,005850
현대백화점,069960
SK바이오사이언스,302440
CJ제일제당,097950
현대해상,001450
KODEX CD1년금리플러스액티브(합성),481050
서울보증보험,031210
현대엘리베이터,017800
KODEX MSCI Korea TR,278540
신영증권,001720
한올바이오파마,009420
iM금융지주,139130
F&F,383220
효성,004800
에스원,012750
미래에셋생명,085620
TIGER 200 IT,139260
RISE 머니마켓액티브,455890
한솔케미칼,014680
롯데에너지머티리얼즈,020150
팬오션,028670
TIME 글로벌AI인공지능액티브,456600
DL이앤씨,375500
코리아써키트,007810
PLUS 고배당주,161510
HL만도,204320
롯데지주,004990
